run,timestamp,method,top_k,embedding_model,rrf_k,hit@10,recall@10,precision@10,mrr@10,ndcg@10,hit@5,recall@5,precision@5,mrr@5,ndcg@5,hit@3,recall@3,precision@3,mrr@3,ndcg@3,hit@1,recall@1,precision@1,mrr@1,ndcg@1
retriever=bm25,2026-05-29T06:46:11+00:00,bm25,5,paraphrase-multilingual-MiniLM-L12-v2,60,,,,,,0.8462,0.8205,0.1744,0.7436,0.75,,,,,,,,,,
retriever=dense,2026-05-29T06:46:13+00:00,dense,5,paraphrase-multilingual-MiniLM-L12-v2,60,,,,,,0.8974,0.8718,0.1897,0.7479,0.7735,,,,,,,,,,
retriever=hybrid,2026-05-29T06:46:14+00:00,hybrid,5,paraphrase-multilingual-MiniLM-L12-v2,60,,,,,,0.9231,0.9103,0.1949,0.8098,0.8295,,,,,,,,,,
hybrid_topk=1,2026-05-29T06:46:14+00:00,hybrid,1,paraphrase-multilingual-MiniLM-L12-v2,60,,,,,,,,,,,,,,,,0.7179,0.6923,0.7179,0.7179,0.7179
hybrid_topk=3,2026-05-29T06:46:15+00:00,hybrid,3,paraphrase-multilingual-MiniLM-L12-v2,60,,,,,,,,,,,0.8974,0.8718,0.3077,0.8034,0.8117,,,,,
hybrid_topk=5,2026-05-29T06:46:16+00:00,hybrid,5,paraphrase-multilingual-MiniLM-L12-v2,60,,,,,,0.9231,0.9103,0.1949,0.8098,0.8295,,,,,,,,,,
hybrid_topk=10,2026-05-29T06:46:16+00:00,hybrid,10,paraphrase-multilingual-MiniLM-L12-v2,60,0.9744,0.9744,0.1051,0.8159,0.8509,,,,,,,,,,,,,,,
